pose3:[0.00727854436263442, -1.6969321409808558, 1.5955824851989746, -1.654229466115133, -1.457226578389303, -0.012509647999898732]
pose1:[0.007338465191423893, -1.6968963781939905, 1.5955462455749512, -1.6542413870440882, -1.4572027365313929, -0.012557808552877248]
pose4:[0.007326481398195028, -1.696955982838766, 1.5955581665039062, -1.6542533079730433, -1.4572504202472132, -0.012569729481832326]
pose7:[0.007350449450314045, -1.6968963781939905, 1.5955462455749512, -1.6542533079730433, -1.4572504202472132, -0.012497727070943654]
pose8:[0.007302512880414724, -1.6968844572650355, 1.5955581665039062, -1.6542652289019983, -1.4571908156024378, -0.012522045766012013]
pose12:[0.007302512880414724, -1.6968963781939905, 1.5955581665039062, -1.6541932264911097, -1.4571784178363245, -0.012533966694967091]
above_station:[1.3546061515808105, -1.66160756746401, 1.4462552070617676, -1.3689840475665491, -1.5754225889789026, -0.13415939012636358]
above_yellow:[1.4918367862701416, -1.4869053999530237, 1.7398591041564941, -1.8512151877032679, -1.5618184248553675, -0.004881683980123341]
above_red:[1.500921607017517, -1.772665802632467, 1.998518943786621, -1.792478386555807, -1.5518549124347132, -0.09845620790590459]
above_green:[1.1512877941131592, -1.830895725880758, 2.012543201446533, -1.7825105826007288, -1.584332291279928, -0.3902962843524378]
at_yellow:[1.5020346641540527, -1.4653881231891077, 1.8044261932373047, -1.9296420256244105, -1.6035531202899378, -0.030104939137594044]
at_red:[1.5228617191314697, -1.7359369436847132, 2.0580930709838867, -1.8584983984576624, -1.6032536665545862, -0.042854134236471]
at_green:[1.146764874458313, -1.7897785345660608, 2.0924110412597656, -1.8753655592547815, -1.5820687452899378, -0.46110660234560186]
above_desk:[2.3411333560943604, -0.9266417662249964, 0.8711390495300293, -1.5198071638690394, -1.5965593496905726, -0.8489778677569788]
above_place_blue:[2.407474994659424, -1.0113852659808558, 1.7072114944458008, -2.2728398481952112, -1.5893142859088343, -0.7331221739398401]
place_blue:[2.409128427505493, -0.9574082533465784, 1.7270116806030273, -2.3559096495257776, -1.5888355414019983, -0.7330859343158167]
above_place_red:[2.5398666858673096, -0.8129704634295862, 1.3355121612548828, -2.1155956427203577, -1.596128288899557, -0.6046283880816858]
place_red:[2.539219617843628, -0.7648661772357386, 1.3534517288208008, -2.179645363484518, -1.5933855215655726, -0.6045802275287073]
above_place_green:[2.246917963027954, -0.8461778799640101, 1.363062858581543, -2.1106484572040003, -1.5960801283465784, -0.938338581715719]
place_green:[2.2469897270202637, -0.79791766801943, 1.4343194961547852, -2.2400034109698694, -1.5961044470416468, -0.9384101072894495]
above_place_yellow:[2.3671250343322754, -0.6370728651629847, 0.9974274635314941, -1.9326966444598597, -1.5925233999835413, -0.7986801306353968]
place_yellow:[2.3654356002807617, -0.5999768416034144, 1.0316004753112793, -1.9910548369037073, -1.587984863911764, -0.7987039724933069]
asdfasdf:[2.38981032371521, -0.9827736059771937, 1.718238353729248, -2.336151425038473, -1.588343922291891, -0.7212565580951136]
asdf3333:[2.3897740840911865, -0.9827616850482386, 1.7182502746582031, -2.336139504109518, -1.5883081595050257, -0.7212446371661585]
asdf666:[2.389798402786255, -0.9827616850482386, 1.718238353729248, -2.3360918203936976, -1.5882962385760706, -0.7212684790240687]
above_blue:[1.2668850421905518, -1.06995135942568, 1.1664166450500488, -1.707510773335592, -1.6293838659869593, -0.2624157110797327]
at_blue:[1.2664663791656494, -1.0462973753558558, 1.2427725791931152, -1.774782959614889, -1.595313851033346, -0.2624157110797327]
above:[0.03892403253284379, -0.6410894496711375, 0.6201411451726808, 0.03861061746315012, 0.9992333459897547, -0.006392824653978667, 0.0010355067247635628]
above:[0.03894204114031938, -0.6410751073457517, 0.6201680798275423, 0.0386342873631226, 0.9992323331690933, -0.006403418190714664, 0.0010641545322661735]
above:[0.0389371236289664, -0.6410698990404404, 0.620148388884218, 0.03861020659965126, 0.9992334713301063, -0.006372148810532223, 0.0010570900880581117]
above:[0.03894644089888447, -0.6410683457895511, 0.6201676883617466, 0.03862806818098245, 0.9992325600118315, -0.006404589204699648, 0.0010698588346098586]
